2025-07-13 11:19:42, Position: (141, 520)
2025-07-13 11:19:42, Position: (310, 320)
2025-07-13 11:19:42, Position: (147, 520)
2025-07-13 11:19:42, Position: (310, 320)
2025-07-13 11:19:42, Position: (139, 520)
2025-07-13 11:19:42, Position: (310, 319)
2025-07-13 11:19:42, Position: (141, 520)
2025-07-13 11:19:42, Position: (309, 319)
2025-07-13 11:19:42, Position: (142, 520)
2025-07-13 11:19:42, Position: (310, 319)
2025-07-13 11:19:42, Position: (145, 520)
2025-07-13 11:19:42, Position: (310, 319)
2025-07-13 11:19:42, Position: (145, 520)
2025-07-13 11:19:42, Position: (309, 320)
2025-07-13 11:19:42, Position: (145, 520)
2025-07-13 11:19:42, Position: (310, 319)
2025-07-13 11:19:42, Position: (139, 520)
2025-07-13 11:19:42, Position: (309, 319)
2025-07-13 11:19:42, Position: (147, 520)
2025-07-13 11:19:42, Position: (310, 319)
2025-07-13 11:19:42, Position: (149, 520)
2025-07-13 11:19:42, Position: (310, 319)
2025-07-13 11:19:42, Position: (147, 520)
2025-07-13 11:19:42, Position: (309, 319)
2025-07-13 11:19:43, Position: (147, 520)
2025-07-13 11:19:43, Position: (309, 319)
2025-07-13 11:19:43, Position: (149, 520)
2025-07-13 11:19:43, Position: (309, 319)
2025-07-13 11:19:43, Position: (141, 520)
2025-07-13 11:19:43, Position: (310, 319)
2025-07-13 11:19:43, Position: (145, 520)
2025-07-13 11:19:43, Position: (310, 319)
2025-07-13 11:19:43, Position: (145, 520)
2025-07-13 11:19:43, Position: (309, 319)
2025-07-13 11:19:43, Position: (145, 520)
2025-07-13 11:19:43, Position: (309, 319)
2025-07-13 11:19:43, Position: (141, 520)
2025-07-13 11:19:43, Position: (310, 319)
2025-07-13 11:19:43, Position: (147, 520)
2025-07-13 11:19:43, Position: (310, 319)
2025-07-13 11:19:43, Position: (147, 520)
2025-07-13 11:19:43, Position: (309, 319)
2025-07-13 11:19:43, Position: (145, 520)
2025-07-13 11:19:43, Position: (309, 319)
2025-07-13 11:19:43, Position: (145, 520)
2025-07-13 11:19:43, Position: (310, 319)
2025-07-13 11:19:43, Position: (147, 520)
2025-07-13 11:19:43, Position: (311, 319)
2025-07-13 11:19:43, Position: (141, 520)
2025-07-13 11:19:43, Position: (310, 319)
2025-07-13 11:19:43, Position: (147, 520)
2025-07-13 11:19:43, Position: (310, 319)
2025-07-13 11:19:43, Position: (139, 520)
2025-07-13 11:19:43, Position: (310, 319)
2025-07-13 11:19:44, Position: (141, 520)
2025-07-13 11:19:44, Position: (310, 320)
2025-07-13 11:19:44, Position: (141, 520)
2025-07-13 11:19:44, Position: (310, 320)
2025-07-13 11:19:44, Position: (145, 520)
2025-07-13 11:19:44, Position: (310, 319)
2025-07-13 11:19:44, Position: (143, 520)
2025-07-13 11:19:44, Position: (309, 319)
2025-07-13 11:19:44, Position: (145, 520)
2025-07-13 11:19:44, Position: (310, 319)
